Timestamp,Which tier was played?,"What is the Discord tag of the Winner, with ID (e.g. Ejeffers1239#9016)",What is the Discord tag of the Loser? (Player 2 if tied.),What was the Score? [Winner],What was the Score? [Loser],Submit the .yrp file(s) of the match.,Submit the winner's YDK file,"Submit the loser's YDK file (Obtainable via the ""replay"" tab in EdoPro, if not just asking)",Winner's Deck Archetype(s),Loser's Deck Archetype(s)
10/1/2022 11:38:42,Layer 1 (Vanilla),Querrec#8552,Surtr#6751,2,0,"https://drive.google.com/open?id=1TCIUSZMO8_fAiO11stDxp90cdHXKCa_5, https://drive.google.com/open?id=1ZgpBBAkvsSmfOVn_IvhFAli1XIz9PWcn",https://drive.google.com/open?id=1Y8l1n_VPuLUvmJAb5fTTaibca-Q_lVbV,https://drive.google.com/open?id=1jm4srHMpX1w3T2Q1MtusAKPW3Y3lJeMC,SPYRAL,Predaplant
10/1/2022 12:30:09,Layer 1 (Vanilla),Surtr#6751,poké#4070,2,0,"https://drive.google.com/open?id=18nuYaYEp_jFOyGHXOv1FhdV7_k_GPty4, https://drive.google.com/open?id=1MRa_t2_XlEIDqfYRNmlHaM9uwuyX6f_b",https://drive.google.com/open?id=10dN0UunjIR2-wGW64rjvt-fmJhfabpKx,https://drive.google.com/open?id=1W83jlNcyjSKmOcxSTn5iQHSPrbnXHssa,heros,fossils/adamancipators
10/1/2022 17:23:03,Layer 1 (Vanilla),Preistest_Dragon#5022,Malleus#2670,2,1,"https://drive.google.com/open?id=1mEWx42WvNjzN1zjxHH78NuDpDLAQczJA, https://drive.google.com/open?id=1afu8d7LD-lJqdTy0DvfsWmWwG3p4jmiX, https://drive.google.com/open?id=1jTxHwrqTR--NJ4ckzyC8YEofJdU4Mkwi",https://drive.google.com/open?id=14zZsspprtoxlBwdDH-pWeXRh-mKRejg5,https://drive.google.com/open?id=1mjZ0BkoAiGjsxg6tVdv5ht-rZJGo2tPT,Vanity's Ruler (Libromancer P.U.N.K.),Hot Red Dragon Archfiend King Calamity (P.U.N.K.)
10/1/2022 18:15:01,Layer 1 (Vanilla),Ejeffers1239#9016,Preistest_Dragon#5022,2,0,"https://drive.google.com/open?id=18bc3T10nriqouFw5_ZxT66j8B3ix8sZ3, https://drive.google.com/open?id=18jDTI5v_MIUKw4Deafop2UX9O9sfWMXR",https://drive.google.com/open?id=1wHlWQIfq7vo-gc-Soy-GucbvtNpnXo47,https://drive.google.com/open?id=13Z9E1uVcMm_9x1p_47a91VvYdMlPGJ10,Marincess,PUNK Libromancer
10/1/2022 18:34:17,Layer 1 (Vanilla),Querrec#8552,Jinxsei#1535,2,0,"https://drive.google.com/open?id=1o0kvlR0ThRgfVLJub2xerMGs87hWL4WY, https://drive.google.com/open?id=1UaZ2tFcP9Fk_fIabrT51djggyX9nga-M",https://drive.google.com/open?id=1Q0m4UU_BuZA9gCSjIQjgPaCmuhuLRydG,https://drive.google.com/open?id=1w6QRV_xFFpLw-CfWVo8nZY_7IG5KqIYL,SPYRAL,Adventure Prank Spright
10/1/2022 19:12:27,Layer 1 (Vanilla),Surtr#6751,Blaster blade#7235,2,0,"https://drive.google.com/open?id=1xjBX6HU8iiiS7WODwB_0xpFreTdJZ6d9, https://drive.google.com/open?id=1rWWHoaX8EMCyfQbIo6pEPF6nRAcp6O8p",https://drive.google.com/open?id=1wQg-wGmNYvF46d8TZo3RLynBOJUaWi9k,https://drive.google.com/open?id=17HT--TGozGc2zs8_o6IGYfps5hvz778H,"Madolche, Generaider","Dark Magician, Magician Girl"
10/2/2022 10:29:33,Layer 1 (Vanilla),Isla#1154,Atlas/Celeste#8465,2,1,"https://drive.google.com/open?id=1JoJkjnXiy85FtD5AgwBfilmY-X7LdvGF, https://drive.google.com/open?id=1060KJxJ-tiRqd9cE1S0yuYpnpqOBIIri, https://drive.google.com/open?id=1bk05kmbdEeOvcTiY4ovzh56jueakIZhk",https://drive.google.com/open?id=1-B9RhxqOg_o1_MtR6YsEPeHL4uB46951,https://drive.google.com/open?id=1JtuH9N1OOqWjFP_IXMSAt6BnRpR_aJ1r,Rank 4 Spam,Striker Orcust
10/2/2022 10:31:25,Layer 1 (Vanilla),Atlas/Celeste#8465,Isla#1154,2,0,"https://drive.google.com/open?id=14HsC9yhwig_5akCf-_91lQ7GQ2dIr8mw, https://drive.google.com/open?id=1MvYTx4nRztxgn3N-bQPsir4ZjXibDUuT",https://drive.google.com/open?id=1gRysZ3qWYzSUyPoHvMErjo4ubnk3FtMp,https://drive.google.com/open?id=1A4N81KC46eNSrB3Etvw_efW4degFD3T-,Adventure Danger Orcust,Lunalight Utopia
10/2/2022 13:04:51,Layer 1 (Vanilla),idkjustputagoodname#9610,Kata#103q,2,1,"https://drive.google.com/open?id=11wO69Rs8FqLh6GJoDXFxhKqxsh9_TnAk, https://drive.google.com/open?id=1eaPuEK-wl1TI1sScj6WDtZL9gG5N6pIu, https://drive.google.com/open?id=1okm0pXrnztdsDua43ygy1Wu69I97FYoh",https://drive.google.com/open?id=1ZhPfTka2t9BZU4UID9zfaWW2-hIzRe8y,https://drive.google.com/open?id=1lZ2nU1h7pFDC01hCR1-SmQryRHLv4-qe,Runick with some s t u n (I am not fun :)),brave madolche
10/2/2022 15:56:13,Layer 1 (Vanilla),JoshuaDragonPillow#3441,Blaster blade#7235,2,0,"https://drive.google.com/open?id=1iVRPK9_FHAutpd-2kHTRo94yrfgNDWnm, https://drive.google.com/open?id=12OmcYBQpyVbV1ALGaH2YUxaxrFRuFwGe",https://drive.google.com/open?id=1h_bIwY0AtIrv9giC6wiQRfr-rdaggVg_,https://drive.google.com/open?id=1Y-V6Kul1pwWBE3yCysOzJOE90Jr8NMeR,Brave Spright Prank-kid,Dark Magician/Dark Magician Girl
10/2/2022 16:29:52,Layer 1 (Vanilla),JoshuaDragonPillow#3441,Querrec#8552,2,0,"https://drive.google.com/open?id=1yrz6jWVbCyOJqC8G4nJGknaHY9OG72V4, https://drive.google.com/open?id=1hH0CxcQ6HHry5p74JuQYmsx5WFzWcSRU",https://drive.google.com/open?id=1CNg2u2cL6M8buuSr-Hb1lyDVBkCXmHCR,https://drive.google.com/open?id=12HuGm0Kr-C_2d-H_PJwFqIgz5_iwxF_6,The Golden Equation (MathmechEldlichAdventure),Branded
